userID,return_home,post_num,prefecture,city,area,phone
1,False,391-0013,長野県,茅野市,1000,09012345678
2,True,405-0006,山梨県,山梨市,54-2,08056476481
2,False,391-0213,長野県,茅野市,5000,08056476481
3,True,390-0821,長野県,松本市,31-1-7,98765432109
3,False,391-0003,長野県,茅野市,3-7,98765432109
4,True,422-8002,静岡県,静岡市,53-2,12345678901
4,False,391-0003,長野県,茅野市,3-6,12345678901
5,True,480-1342,愛知県,長久手市,1533-1,01201097828
5,False,391-0013,長野県,茅野市,1234,01201097828
6,True,942-0081,新潟県,上越市,15-15,78945612309
6,False,391-0213,長野県,茅野市,5000,12345612345
7,False,391-0002,長野県,茅野市,2345,6789123456
8,False,391-0213,長野県,茅野市,5353,02875321598
9,False,391-0010,長野県,茅野市,1-4-18,98412598427
10,False,391-0003,長野県,茅野市,57-12,72465565461
